,secID,ticker,secShortName,exchangeCD,tradeDate,consID,consTicker,consName,consExchangeCD,quantity,cashSubsSign,CashRatio,fixedCahsAmount
1013,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-01,600340.XSHG,600340,华夏幸福,XSHG,600,1,10,
1014,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-01,600519.XSHG,600519,贵州茅台,XSHG,200,1,10,
1015,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-01,600547.XSHG,600547,山东黄金,XSHG,500,1,10,
1016,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-01,600585.XSHG,600585,海螺水泥,XSHG,900,1,10,
1017,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-01,600690.XSHG,600690,海尔智家,XSHG,1700,1,10,
1018,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-01,600703.XSHG,600703,三安光电,XSHG,1100,1,10,
1019,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-01,600837.XSHG,600837,海通证券,XSHG,3700,1,10,
1020,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-01,600887.XSHG,600887,伊利股份,XSHG,2800,1,10,
1021,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-01,601012.XSHG,601012,隆基股份,XSHG,1200,1,10,
1022,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-01,601066.XSHG,601066,中信建投,XSHG,200,1,10,
1023,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-01,601088.XSHG,601088,中国神华,XSHG,1500,1,10,
1024,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-01,601111.XSHG,601111,中国国航,XSHG,1400,1,10,
1025,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-01,601138.XSHG,601138,工业富联,XSHG,800,1,10,
1026,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-01,601166.XSHG,601166,兴业银行,XSHG,6600,1,10,
1027,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-01,601186.XSHG,601186,中国铁建,XSHG,2100,1,10,
1028,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-01,601211.XSHG,601211,国泰君安,XSHG,2100,1,10,
1029,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-01,601236.XSHG,601236,红塔证券,XSHG,200,1,10,
1030,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-01,601288.XSHG,601288,农业银行,XSHG,17500,1,10,
1031,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-01,601318.XSHG,601318,中国平安,XSHG,4900,1,10,
1032,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-01,601319.XSHG,601319,中国人保,XSHG,500,1,10,
